DATAFLOW,LAST UPDATE,freq,indic,s_adj,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2025-02,89.9,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2025-03,90.0,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2025-04,90.6,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2025-05,92.0,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2025-06,91.2,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2025-07,92.4,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2025-08,91.5,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2025-09,90.9,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2025-10,91.8,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2025-11,91.5,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2025-12,90.2,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2026-01,93.2,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2020-01,106.6,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2020-02,107.3,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2020-03,98.6,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2020-04,60.8,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2020-05,64.1,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2020-06,77.4,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2020-07,83.3,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2020-08,94.0,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2020-09,99.1,,
