,Epsilon
2024-01-02,-0.007196253359433524
2024-01-03,0.013192912315003746
2024-01-04,0.011698081259986948
2024-01-05,-0.009075504962155034
2024-01-08,0.004087445671577705
2024-01-09,-0.0028742511132637816
2024-01-10,0.0011123750976738123
2024-01-11,0.002717314406338822
2024-01-12,0.00039563105661644116
2024-01-15,0.0023286858641959896
2024-01-16,-0.0009397356964265802
2024-01-17,0.009220195929454889
2024-01-18,-0.0007680468832167442
2024-01-19,-0.01198950425594869
2024-01-22,0.0022023069539536255
2024-01-23,-0.03136322176302753
2024-01-24,0.011089128326210562
2024-01-25,-0.007961318672847884
2024-01-26,-0.012070179783801871
2024-01-29,-0.00837999365607589
2024-01-30,0.0036845891442762735
2024-01-31,0.01049925319937639
2024-02-01,0.005826709945655373
2024-02-02,0.0007279005962945728
2024-02-05,-0.01694323760176497
2024-02-06,0.010064075128747851
2024-02-07,0.018404022711179358
2024-02-08,-0.020071240252157008
2024-02-09,0.0041188712027108165
2024-02-12,-0.018585904821703636
2024-02-13,-0.0018404010426497086
2024-02-14,-0.019877330252522363
2024-02-15,0.005877389695788049
2024-02-16,-0.016984290571954053
2024-02-19,-0.00022238244259398243
2024-02-20,0.001044849337177245
2024-02-21,0.005454278285796199
2024-02-22,-0.0162756803791978
2024-02-23,-0.012034766471833158
2024-02-26,0.009627588164175138
2024-02-27,0.006457837316167947
2024-02-28,-0.016127152129106648
2024-02-29,0.0063809017494579345
2024-03-01,0.014890111070282597
2024-03-04,-0.022470332399562032
2024-03-05,-0.009381020334398082
2024-03-06,-0.016494929564085103
2024-03-07,-0.008029790074027487
2024-03-08,-0.002874658169078226
2024-03-11,0.0070154385202665925
2024-03-12,-0.013412882815232008
2024-03-13,-0.008409247311702894
2024-03-14,0.0011590581105458964
2024-03-15,-0.011824053090174425
2024-03-18,-0.010033618018216228
2024-03-19,0.0070187507082113965
2024-03-20,-0.003382622902599719
2024-03-21,0.0013957279282287849
2024-03-22,0.027451749006491166
2024-03-25,-0.001307947585030389
2024-03-26,0.010282369889682563
2024-03-27,0.004715253680917408
2024-03-28,0.012145657759986384
2024-04-02,-0.00011171184088620834
2024-04-03,0.00330016229002128
2024-04-04,-0.009410373713588105
2024-04-05,0.0018107279726384817
2024-04-08,-0.025908977901277885
2024-04-09,0.0012150687473554411
2024-04-10,0.0012569463762497346
2024-04-11,-0.034178769625430594
2024-04-12,0.04191404407326699
2024-04-15,0.015558022271735972
2024-04-16,-0.008519687238930485
2024-04-17,-0.007336652807789834
2024-04-18,-0.005813068947411182
2024-04-19,-0.01219951116857021
2024-04-22,-0.009541632652690812
2024-04-23,-0.002820718293700508
2024-04-24,0.007741215113375277
2024-04-25,-0.0003662002923650043
2024-04-26,-0.0181065702065486
2024-04-29,0.012553052562065514
2024-04-30,-0.006656343346277072
2024-05-02,-0.0013689163314592467
2024-05-03,-0.0047891153601855585
2024-05-06,0.00981089337649571
2024-05-07,-0.002796988407811951
2024-05-08,0.005197777909882906
2024-05-09,-0.005489521276313969
2024-05-10,0.0021525611573186
2024-05-13,0.002657129228900934
2024-05-14,0.01297499798265389
2024-05-15,-0.019418287042681004
2024-05-16,0.00024096653029004322
2024-05-17,-0.007083532129237069
2024-05-20,-0.01147739027716388
2024-05-21,0.0026498872164645304
2024-05-22,0.006887582321225938
2024-05-23,-0.02048951952951028
2024-05-24,0.010124470448320488
2024-05-27,-0.015344770357925863
2024-05-28,0.007093184429877886
2024-05-29,-0.003104433603058787
2024-05-30,-0.004005120269588713
2024-05-31,0.00041920313367510564
2024-06-03,-0.026327449685479287
2024-06-04,0.014218694536571652
2024-06-05,-0.009438933317962028
2024-06-06,0.007081761442190082
2024-06-07,-0.0016685532219312682
2024-06-10,0.05924890138259897
2024-06-11,0.05129391962803331
2024-06-12,0.004962231164465036
2024-06-13,0.06473699062768157
2024-06-14,0.08926031899761988
2024-06-17,-0.026680905189398585
2024-06-18,-0.025402328079744296
2024-06-19,0.02843246051226067
2024-06-20,-0.018762841265499874
2024-06-21,0.020779735223962148
2024-06-24,-0.02583632116857215
2024-06-25,-0.016045757803186178
2024-06-26,0.025677666849745817
2024-06-27,0.07671152149736049
2024-06-28,-0.008316147081808056
2024-07-01,-0.055787339056627694
2024-07-02,-0.031231805221906828
2024-07-03,-0.01116529276464695
2024-07-04,-0.002466875445735095
2024-07-05,-0.012185097193646799
2024-07-08,-0.030128560198468102
2024-07-09,0.044608987717585036
2024-07-10,-0.042516325867582694
2024-07-11,0.0063960521420162175
2024-07-12,0.0016022565515343423
2024-07-15,-0.010002544694787119
2024-07-16,0.011494893838445597
2024-07-17,0.0010383586270757972
2024-07-18,0.004689088495129945
2024-07-19,0.0070753517255279785
